city,date,hour,rolling_avg_temperature_c,rolling_avg_pressure_mm,is_rain_start
Tula,2024-02-16,21,-6.0,756.0,False
Tula,2024-02-16,22,-6.0,755.5,False
Tula,2024-02-16,23,-6.0,755.25,False
Tula,2024-02-17,0,-6.0,756.0,True
Tula,2024-02-17,1,-6.0,755.5,False
Tula,2024-02-17,2,-6.0,755.3333333333334,False
Tula,2024-02-17,3,-6.0,755.5,False
Tula,2024-02-17,4,-6.0,755.25,False
Tula,2024-02-17,5,-6.0,755.25,False
Tula,2024-02-17,6,-6.0,755.25,False
Tula,2024-02-17,7,-6.0,754.75,False
Tula,2024-02-17,8,-6.0,754.5,False
Tula,2024-02-17,9,-6.0,754.5,False
Tula,2024-02-17,10,-5.75,754.25,False
Tula,2024-02-17,11,-5.5,754.0,False
Tula,2024-02-17,12,-5.0,754.0,False
Tula,2024-02-17,13,-4.25,753.5,False
Tula,2024-02-17,14,-3.75,753.25,False
Tula,2024-02-17,15,-3.25,753.25,False
Tula,2024-02-17,16,-3.0,752.75,False
Tula,2024-02-17,17,-3.0,752.5,False
Tula,2024-02-17,18,-3.0,752.25,False
Tula,2024-02-17,19,-3.0,751.75,False
Tula,2024-02-17,20,-3.0,751.25,False
Tula,2024-02-17,21,-3.0,750.75,False
Tula,2024-02-17,22,-3.0,750.0,False
Tula,2024-02-17,23,-3.0,749.25,False
Tula,2024-02-18,0,-3.0,749.0,False
Tula,2024-02-18,1,-2.5,748.0,False
Tula,2024-02-18,2,-2.3333333333333335,747.6666666666666,False
Tula,2024-02-18,3,-2.25,747.5,True
Tula,2024-02-18,4,-2.0,746.75,False
Tula,2024-02-18,5,-2.0,746.25,False
Tula,2024-02-18,6,-2.0,746.0,False
Tula,2024-02-18,7,-2.0,745.5,False
Tula,2024-02-18,8,-1.75,745.25,False
Tula,2024-02-18,9,-1.5,745.25,False
Tula,2024-02-18,10,-1.0,745.0,False
Tula,2024-02-18,11,-0.5,745.0,False
Tula,2024-02-18,12,-0.25,745.25,False
Tula,2024-02-18,13,0.0,745.5,False
